video_id,thumbnails,Title,Published_date,Views,Likes,Comments
6aycYAFLB5k,https://i.ytimg.com/vi/6aycYAFLB5k/default.jpg,أسهل طريقه لتعلم واتقان قواعد اللغه الانجليزيه في 6 ايام فقط,2015-10-13T17:40:42Z,6412703,258782,20196
i-KEpmUlMNU,https://i.ytimg.com/vi/i-KEpmUlMNU/default.jpg,أسهل طريقه لحفظ واكتساب كلمات جديده في اللغه الانجليزيه,2015-10-13T17:40:30Z,4279496,154121,3760
IUgA--KgtMc,https://i.ytimg.com/vi/IUgA--KgtMc/default.jpg,كيف تعلم نفسك اللغه الانجليزيه  وتتكلمها بطلاقه,2015-10-13T17:40:23Z,8507224,269083,6228
PbXY5ojE0sU,https://i.ytimg.com/vi/PbXY5ojE0sU/default.jpg,أسهل طريقه لعمل تأثير الـDouble Exposure بالفوتوشوب,2015-09-01T18:24:56Z,232359,7822,245
1kpKEVZyEjE,https://i.ytimg.com/vi/1kpKEVZyEjE/default.jpg,كيفية عمل تأثير الـ Back Light بالفوتوشوب بكل سهوله,2015-08-28T18:57:31Z,110235,2731,89
vpyfZMz9cVU,https://i.ytimg.com/vi/vpyfZMz9cVU/default.jpg,كيف تكتب بطريقة احترافية فى الافتر افكت,2015-07-11T18:21:39Z,6185,104,9
oVqPEISPjY0,https://i.ytimg.com/vi/oVqPEISPjY0/default.jpg,كيفية عمل العزل أو Depth of field باستخدام فوتوشوب,2015-07-02T21:55:15Z,298535,7860,203
GT5jbnYC63c,https://i.ytimg.com/vi/GT5jbnYC63c/default.jpg,حركة الباي تشارت او النسبة المئوية -After effect - Motion Graphics,2015-06-25T04:19:39Z,29378,608,26
15oUta90rG8,https://i.ytimg.com/vi/15oUta90rG8/default.jpg,تعليم فوتوشوب في 90 دقيقه فقط,2015-06-22T15:54:56Z,6327903,167017,5687
qpyC2lSJ93g,https://i.ytimg.com/vi/qpyC2lSJ93g/default.jpg,شرح مبسط للـ HTML و CSS وكيف تتعلمهم في أقصر وقت ممكن ؟,2015-05-14T16:11:03Z,793541,39035,779
Cw_4Sh5KQgg,https://i.ytimg.com/vi/Cw_4Sh5KQgg/default.jpg,4 نصائح مهمه عند اختيار اسم موقعك او الـDomain Name,2015-05-09T11:05:06Z,49009,2104,49
RZQnrTD-ALQ,https://i.ytimg.com/vi/RZQnrTD-ALQ/default.jpg,10 نصائح مهمه قبل شراء كاميرا بروفيشينال DSLR,2015-05-05T17:10:21Z,604766,23132,808
DuPT2za4AqY,https://i.ytimg.com/vi/DuPT2za4AqY/default.jpg,أيهم أفضل لموقعك Blogger أم Wordpress ام Joomla ؟,2015-05-02T19:00:37Z,159290,7070,267
Wce8pcrGk-0,https://i.ytimg.com/vi/Wce8pcrGk-0/default.jpg,الفرق بين Photoshop و illustrator,2015-04-30T20:35:44Z,256224,14842,332
gQFtjCvVtGg,https://i.ytimg.com/vi/gQFtjCvVtGg/default.jpg,كيف تبني موقعك بنفسك,2015-04-28T17:28:36Z,106023,4363,161
PiF8h6iIps0,https://i.ytimg.com/vi/PiF8h6iIps0/default.jpg,كيف تحذف فيروسات الاعلانات المزعجه,2015-04-26T19:13:21Z,463602,6603,310
lWAaLQlRiPk,https://i.ytimg.com/vi/lWAaLQlRiPk/default.jpg,كيف تصمم تأثير رائع علي الكتابه مثل الذي في الصوره بكل سهوله,2015-02-15T18:06:26Z,93626,2535,142
2IpyATAuN0Y,https://i.ytimg.com/vi/2IpyATAuN0Y/default.jpg,تأثير الكتابه علي صوره مضببه بالفوتوشوب,2015-02-07T18:09:23Z,48160,892,85
hIw9EwO2Aks,https://i.ytimg.com/vi/hIw9EwO2Aks/default.jpg,كيفية عمل Render في برنامج  After Effects,2015-02-01T16:18:59Z,53359,925,32
OfuTfWZ4c7o,https://i.ytimg.com/vi/OfuTfWZ4c7o/default.jpg,حول رسمة بيتك 3D وافرشه بكامل الاثاث مع هذا البرنامج الرائع (3),2015-02-01T15:23:10Z,443377,6459,210
ZW9_ksqrfBA,https://i.ytimg.com/vi/ZW9_ksqrfBA/default.jpg,حول رسمة بيتك 3D وافرشه بكامل الاثاث مع هذا البرنامج الرائع (2),2015-01-30T18:48:48Z,241342,4425,93
wM-GfuCvzg4,https://i.ytimg.com/vi/wM-GfuCvzg4/default.jpg,حول رسمة بيتك 3D وافرشه بكامل الاثاث مع هذا البرنامج الرائع (1),2015-01-30T11:34:53Z,768607,16282,378
f2IbdL6BIHI,https://i.ytimg.com/vi/f2IbdL6BIHI/default.jpg,التحميل من التورنت باستخدام برنامج IDM,2014-12-15T17:58:36Z,4697,120,6
6HL9F-5XKOw,https://i.ytimg.com/vi/6HL9F-5XKOw/default.jpg,تغير خلفية الفيديو عن طريق إزالة الشاشة الخضراء أو الكروما ببرنامج After Effects,2014-12-11T14:43:49Z,190392,4839,186
hJXdx9IoMoo,https://i.ytimg.com/vi/hJXdx9IoMoo/default.jpg,تعلم طريقة عمل Effects  رائعه ببرنامج After Effects,2014-12-08T17:57:31Z,35584,904,17
